y,z
215,0.5377500057220459
216,0.5352500081062317
217,0.530500054359436
218,0.5210000276565552
219,0.5207500457763672
220,0.5210000276565552
221,0.5212500095367432
222,0.5215000510215759
223,0.5215000510215759
224,0.5212500095367432
225,0.5205000042915344
226,0.5192500352859497
227,0.5177500247955322
228,0.5170000195503235
229,0.5164999961853027
230,0.5162500143051147
231,0.5160000324249268
232,0.5160000324249268
233,0.5162500143051147
234,0.5164999961853027
235,0.5170000195503235
236,0.5172500014305115
237,0.5177500247955322
238,0.518250048160553
239,0.518500030040741
240,0.5190000534057617
241,0.5195000171661377
242,0.5197499990463257
243,0.5202500224113464
244,0.5205000042915344
245,0.5207500457763672
246,0.5212500095367432
247,0.5215000510215759
248,0.5217500329017639
249,0.5220000147819519
250,0.5222499966621399
251,0.5225000381469727
252,0.5227500200271606
253,0.5230000019073486
254,0.5232500433921814
255,0.5235000252723694
256,0.5237500071525574
257,0.5240000486373901
258,0.5242500305175781
259,0.5242500305175781
260,0.5242500305175781
261,0.5242500305175781
262,0.5242500305175781
263,0.5242500305175781
264,0.5242500305175781
265,0.5242500305175781
266,0.5240000486373901
267,0.5190000534057617
268,0.5122500061988831
269,0.5122500061988831
270,0.5122500061988831
271,0.5125000476837158
272,0.5130000114440918
273,0.5132500529289246
274,0.5137500166893005
275,0.5145000219345093
276,0.515250027179718
277,0.5162500143051147
278,0.5170000195503235
279,0.5180000066757202
280,0.5190000534057617
281,0.5200000405311584
282,0.5205000042915344
283,0.5210000276565552
285,0.5407500267028809
286,0.5415000319480896
