y,z
0,1.4420000314712524
1,1.442500114440918
2,1.442750096321106
3,1.446250081062317
4,1.4545000791549683
5,1.4605001211166382
6,1.4620000123977661
7,1.4627500772476196
8,1.465250015258789
9,1.470500111579895
10,1.4720001220703125
11,1.4735000133514404
12,1.475000023841858
13,1.4760000705718994
14,1.4767500162124634
15,1.477250099182129
16,1.4777500629425049
17,1.4875000715255737
18,1.5065001249313354
19,1.5067501068115234
20,1.5067501068115234
21,1.5072500705718994
22,1.5172500610351562
23,1.5175000429153442
24,1.5177500247955322
25,1.5182501077651978
26,1.5190000534057617
27,1.5195000171661377
28,1.5202500820159912
29,1.526750087738037
30,1.5282500982284546
31,1.537000060081482
32,1.5412501096725464
33,1.5432500839233398
34,1.5450000762939453
35,1.5472500324249268
36,1.56125009059906
37,1.561750054359436
38,1.562000036239624
39,1.562250018119812
40,1.5625001192092896
41,1.5747500658035278
42,1.5890001058578491
43,1.589250087738037
44,1.589500069618225
45,1.589500069618225
46,1.600000023841858
47,1.6027500629425049
48,1.6042500734329224
49,1.6067501306533813
50,1.6087501049041748
51,1.6105000972747803
52,1.6117501258850098
53,1.6127500534057617
54,1.6140000820159912
55,1.6260000467300415
56,1.627000093460083
57,1.627000093460083
58,1.6380001306533813
59,1.6475000381469727
60,1.6480001211166382
61,1.6490000486373901
62,1.652250051498413
63,1.655250072479248
64,1.6595001220703125
65,1.661500096321106
66,1.6627501249313354
67,1.6640000343322754
68,1.6677501201629639
69,1.6792501211166382
70,1.693000078201294
71,1.69350004196167
72,1.7042500972747803
73,1.7055001258850098
74,1.7060000896453857
75,1.7090001106262207
76,1.7162500619888306
77,1.717750072479248
78,1.7187501192092896
79,1.7195000648498535
80,1.721000075340271
81,1.7357500791549683
82,1.7407500743865967
83,1.7530001401901245
84,1.7532501220703125
85,1.7537500858306885
86,1.7542500495910645
87,1.75475013256073
88,1.755250096321106
89,1.7777501344680786
90,1.7810001373291016
91,1.783750057220459
92,1.7947500944137573
93,1.8020000457763672
94,1.8125001192092896
95,1.8130000829696655
96,1.8130000829696655
97,1.8135000467300415
98,1.814000129699707
99,1.8320001363754272
100,1.8327500820159912
101,1.8332500457763672
102,1.8340001106262207
103,1.8345000743865967
104,1.8347500562667847
105,1.8347500562667847
106,1.8345000743865967
107,1.8322501182556152
108,1.8127501010894775
109,1.7930001020431519
110,1.779500126838684
111,1.779750108718872
112,1.78000009059906
113,1.780500054359436
114,1.7812501192092896
115,1.7960001230239868
116,1.81850004196167
117,1.818250060081482
118,1.818000078201294
119,1.7845001220703125
120,1.752000093460083
121,1.724500060081482
122,1.7230000495910645
123,1.7135000228881836
124,1.7010000944137573
125,1.6972501277923584
126,1.6972501277923584
127,1.6975001096725464
128,1.6975001096725464
129,1.7067500352859497
130,1.7075001001358032
138,2.046750068664551
139,2.061000108718872
140,2.061500072479248
141,2.061500072479248
142,2.0617501735687256
143,2.062000036239624
144,2.062000036239624
145,2.062000036239624
146,2.062000036239624
147,2.091750144958496
148,2.1117501258850098
149,2.115000009536743
150,2.117000102996826
151,2.1177501678466797
152,2.1182501316070557
153,2.1187500953674316
154,2.149749994277954
155,2.15625
156,2.157250165939331
157,2.161750078201294
158,2.1772501468658447
159,2.1812500953674316
160,2.1842501163482666
161,2.1977500915527344
162,2.200000047683716
163,2.204500198364258
164,2.2060000896453857
165,2.2120001316070557
166,2.2130000591278076
167,2.2260000705718994
168,2.236999988555908
169,2.2552502155303955
170,2.2740001678466797
171,2.275250196456909
172,2.2760000228881836
173,2.276750087738037
174,2.277250051498413
175,2.277750015258789
176,2.309500217437744
177,2.3325002193450928
178,2.333250045776367
179,2.3340001106262207
180,2.337249994277954
181,2.3445000648498535
182,2.3585000038146973
183,2.3637502193450928
184,2.3667500019073486
185,2.374500036239624
187,2.4045000076293945
188,2.4045000076293945
189,2.4375
190,2.4487500190734863
191,2.4585001468658447
192,2.4585001468658447
193,2.4585001468658447
204,0.19025000929832458
273,2.9865000247955322
